"yr","date","Latitude","Longitude","pyro","doy","pyrocat","subsegment"
2013,2013-05-22,27.949,-82.561,1000,142,"No bloom","CE"
2013,2013-05-22,27.957,-82.622,1600,142,"No bloom","CE"
2013,2013-05-22,27.942,-82.675,87600,142,"Low","CW"
2013,2013-05-22,27.9055,-82.6046,1300,142,"No bloom","SW"
2013,2013-05-22,27.9244,-82.5496,NA,142,NA,"SE"
2013,2013-05-22,27.86111,-82.58911,NA,142,NA,"SW"
2013,2013-06-04,28.02,-82.675,NA,155,NA,"NW"
2013,2013-06-04,27.972,-82.673,NA,155,NA,"NW"
2013,2013-06-04,27.98,-82.62,333,155,"No bloom","NE"
2013,2013-06-04,27.949,-82.561,NA,155,NA,"CE"
2013,2013-06-04,27.957,-82.622,NA,155,NA,"CE"
2013,2013-06-04,27.942,-82.675,NA,155,NA,"CW"
2013,2013-06-04,27.9055,-82.6046,NA,155,NA,"SW"
2013,2013-06-04,27.9244,-82.5496,NA,155,NA,"SE"
2013,2013-06-04,27.86111,-82.58911,NA,155,NA,"SW"
2013,2013-06-11,28.02,-82.675,NA,162,NA,"NW"
2013,2013-06-11,27.972,-82.673,NA,162,NA,"NW"
2013,2013-06-11,27.98,-82.62,NA,162,NA,"NE"
2013,2013-06-11,27.949,-82.561,NA,162,NA,"CE"
2013,2013-06-11,27.957,-82.622,NA,162,NA,"CE"
2013,2013-06-11,27.942,-82.675,NA,162,NA,"CW"
2013,2013-06-11,27.9055,-82.6046,NA,162,NA,"SW"
2013,2013-06-11,27.9244,-82.5496,NA,162,NA,"SE"
2013,2013-06-11,27.86111,-82.58911,NA,162,NA,"SW"
2013,2013-06-18,28.02,-82.675,NA,169,NA,"NW"
2013,2013-06-18,27.972,-82.673,NA,169,NA,"NW"
2013,2013-06-18,27.98,-82.62,NA,169,NA,"NE"
2013,2013-06-18,27.949,-82.561,NA,169,NA,"CE"
